,mobile_price,mobile_color,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,battery_power,mob_width,mob_height,mob_depth,mob_weight,brand
243,10900,1,15.24,1,8.1,4,1.4,16,3,15,12,3,3360,75.74,155.87,7.8,150.0,1
244,12000,4,15.24,1,8.1,4,1.4,32,4,15,12,3,3360,75.74,155.87,7.8,150.0,1
245,8998,1,15.8,3,8.1,8,2.0,32,2,15,12,3,4030,75.09,155.11,8.28,163.5,1
246,8990,1,15.8,3,8.1,8,2.0,32,2,10,14,3,4030,75.09,155.11,8.28,163.5,1
247,14914,4,13.97,0,7.0,8,1.5,32,3,15,3,3,3000,75.7,154.6,7.7,162.8,1
248,14538,1,15.8,3,8.1,8,2.0,32,4,15,12,3,3260,75.0,155.06,7.77,148.0,1
249,17490,0,16.26,11,9.0,8,2.3,128,4,33,3,3,6000,159.0,90.0,7.5,186.0,6
250,16499,0,16.51,6,10.0,8,2.0,64,4,36,1,2,5000,75.3,163.6,8.9,191.0,6
251,16499,1,16.51,6,10.0,8,2.0,64,4,36,1,2,5000,75.3,163.6,8.9,191.0,6
252,18499,0,16.51,6,10.0,8,2.0,64,6,36,1,2,5000,75.3,163.6,8.9,191.0,6
253,18499,3,16.51,6,10.0,8,2.0,64,6,36,1,2,5000,75.3,163.6,8.9,191.0,6
254,18499,1,16.51,6,10.0,8,2.0,64,6,36,1,2,5000,75.3,163.6,8.9,191.0,6
255,17490,3,16.51,6,10.0,8,2.0,64,4,36,1,2,5000,75.3,163.6,8.9,191.0,6
256,15999,0,16.26,11,10.0,8,2.3,64,4,38,5,3,6000,75.0,159.0,9.0,188.0,6
257,15990,1,16.26,11,10.0,8,2.3,64,4,38,5,3,6000,75.0,159.0,9.0,188.0,6
258,6299,1,12.7,13,8.1,4,1.4,16,1,48,12,2,2600,72.1,143.4,8.95,154.0,6
259,19900,0,16.26,11,10.0,8,2.3,128,6,46,10,3,6000,90.0,159.0,7.5,191.0,6
260,47999,0,17.02,12,10.0,8,2.8,512,8,27,10,3,4500,75.6,162.5,8.1,187.0,6
261,47999,1,17.02,12,10.0,8,2.8,512,8,27,10,3,4500,75.6,162.5,8.1,187.0,6
262,6000,4,11.94,13,5.4,4,1.3,8,1,40,8,2,2000,69.0,136.5,8.4,130.0,6
263,20995,1,13.97,7,7.0,8,1.6,64,3,15,1,2,3600,74.7,152.4,7.8,178.0,6
264,11995,1,13.97,0,7.0,8,1.6,16,2,15,12,2,3000,152.4,78.6,7.6,170.0,6
265,10995,4,13.97,0,7.0,8,1.6,16,2,15,12,2,3000,152.4,78.6,7.6,170.0,6
266,9999,5,16.76,6,10.0,8,2.0,64,4,25,14,3,5000,76.8,165.0,8.7,185.0,4
267,9999,0,16.76,6,10.0,8,2.0,64,4,25,14,3,5000,76.8,165.0,8.7,185.0,4
268,8999,5,16.76,6,10.0,8,2.0,64,4,9,14,3,5000,76.8,165.0,8.7,185.0,4
269,8999,0,16.76,6,10.0,8,2.0,64,4,9,14,3,5000,76.8,165.0,8.7,185.0,4
270,10999,0,15.06,8,8.1,8,2.0,64,4,23,3,3,4000,75.0,158.0,8.4,190.0,4
271,11499,6,16.59,11,10.0,8,2.3,64,4,30,3,3,4000,76.88,162.5,8.95,194.0,4
272,11499,5,16.59,11,10.0,8,2.3,64,4,30,3,3,4000,76.88,162.5,8.95,194.0,4
273,10999,2,15.06,8,8.1,8,2.0,64,4,23,3,3,4000,75.0,158.0,8.4,190.0,4
274,10999,7,15.75,2,8.1,8,1.4,32,3,10,3,2,4000,75.3,156.7,8.3,150.0,4
275,10999,1,15.75,2,8.1,8,1.4,32,3,10,3,2,4000,75.3,156.7,8.3,150.0,4
276,7699,0,15.21,8,8.1,8,2.0,64,4,8,3,3,4500,75.25,158.25,8.65,175.0,4
277,7699,7,15.21,8,8.1,8,2.0,64,4,8,3,3,4500,75.25,158.25,8.65,175.0,4
278,9999,1,15.72,2,9.0,8,2.39,64,4,10,0,2,4000,74.8,153.9,7.9,159.0,4
279,9999,4,15.72,2,9.0,8,2.39,64,4,10,0,2,4000,74.8,153.9,7.9,159.0,4
280,9999,0,15.72,2,9.0,8,2.39,64,4,10,0,2,4000,74.8,153.9,7.9,159.0,4
281,7599,7,15.21,8,8.1,8,2.0,32,3,8,3,3,4500,75.25,158.25,8.65,175.0,4
282,11999,0,14.35,1,8.0,8,1.4,64,4,15,5,3,4000,72.85,153.0,8.4,150.0,4
283,11999,1,14.35,1,8.0,8,1.4,64,4,15,5,3,4000,72.85,153.0,8.4,150.0,4
284,11999,4,14.35,1,8.0,8,1.4,64,4,15,5,3,4000,72.85,153.0,8.4,150.0,4
285,8499,5,16.76,6,9.0,8,2.0,64,4,19,3,2,4000,76.0,164.0,7.9,178.0,4
286,8499,0,16.76,6,9.0,8,2.0,64,4,19,3,2,4000,76.0,164.0,7.9,178.0,4
287,8499,1,16.76,6,9.0,8,2.0,64,4,19,3,2,4000,76.0,164.0,7.9,178.0,4
288,7599,1,15.21,8,8.1,8,2.0,32,3,8,3,3,4500,75.25,158.25,8.65,175.0,4
289,19999,1,15.19,7,7.0,8,2.6,128,6,1,3,3,4350,82.38,166.38,7.95,197.0,4
290,9599,0,15.77,3,9.0,8,2.0,32,3,12,10,3,4000,75.0,156.0,7.9,155.0,4
291,9599,5,15.77,3,9.0,8,2.0,32,3,12,10,3,4000,75.0,156.0,7.9,155.0,4
292,9599,7,15.77,3,9.0,8,2.0,32,3,12,10,3,4000,75.0,156.0,7.9,155.0,4
293,9599,0,16.76,6,9.0,8,2.0,64,4,21,10,3,4000,76.0,164.0,7.9,178.0,4
